,level_0,id,index,play_pattern,location,shot,type,outcome,body_part,xG_statsbomb
0,1,1aedaf9e-bc12-4d0a-953d-bd0f7db3688a,681,Regular Play,"[103.6, 51.0]","{'statsbomb_xg': 0.096383646, 'end_location': [115.8, 42.1, 0.0], 'key_pass_id': 'af98e1f8-eaab-461c-9801-9c554f8996c3', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 40, 'name': 'Right Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 100, 'name': 'Saved'}, 'first_time': True, 'freeze_frame': [{'location': [97.2, 35.3], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.3, 44.9], 'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.9, 44.7], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.2, 25.6], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.3, 40.1], 'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 30.8], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.3, 41.8], 'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]}",Open Play,Saved,Right Foot,0.096383646
1,4,75bdc651-c041-4021-b201-cb9eb8b97837,1282,Regular Play,"[118.3, 42.1]","{'one_on_one': True, 'open_goal': True, 'statsbomb_xg': 0.9761923, 'end_location': [120.0, 40.7, 0.0], 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 97, 'name': 'Goal'}, 'freeze_frame': [{'location': [108.6, 55.2], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.9, 46.5], 'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.1, 50.1], 'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.3, 44.3], 'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]}",Open Play,Goal,Left Foot,0.9761923
2,9,ce93dbcd-25d3-4a2c-b702-1215cf5a48fa,2003,Regular Play,"[113.3, 26.1]","{'one_on_one': True, 'statsbomb_xg': 0.054102834, 'end_location': [118.2, 35.8, 1.3], 'key_pass_id': 'b4337709-ce1d-4002-a96f-3162d6a7fe77', 'outcome': {'id': 100, 'name': 'Saved'}, 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'freeze_frame': [{'location': [106.2, 32.9], 'player': {'id': 10605, 'name': 'Rodrigo Andrés Battaglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.2, 29.1], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.2, 35.8], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.4, 51.6], 'player': {'id': 22390, 'name': 'Francisco António Machado Mota de Castro Trincão'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 41.6], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.5, 31.6], 'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.7, 30.5], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.8, 45.3], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.1, 39.7], 'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.4, 33.1], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 48.0], 'player': {'id': 24049, 'name': 'Luis Jesús Rioja González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.0, 27.2], 'player': {'id': 6618, 'name': 'Martín Aguirregabiria Padilla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]}",Open Play,Saved,Left Foot,0.054102834
3,18,9474126e-22fa-4d5a-893b-08529b1fb9cf,3151,Regular Play,"[103.4, 24.7]","{'statsbomb_xg': 0.034160636, 'end_location': [116.5, 37.6, 2.0], 'key_pass_id': 'b07d4bc4-b41a-43b2-a3c6-27994675c7ad', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 40, 'name': 'Right Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 100, 'name': 'Saved'}, 'freeze_frame': [{'location': [117.0, 37.6], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.5, 49.7], 'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 45.0], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 38.6], 'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.4, 35.0], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.5, 26.5], 'player': {'id': 6618, 'name': 'Martín Aguirregabiria Padilla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.1, 23.2], 'player': {'id': 31779, 'name': 'Tomas Franco Tavares'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.7, 35.3], 'player': {'id': 10605, 'name': 'Rodrigo Andrés Battaglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 28.6], 'player': {'id': 6632, 'name': 'Manuel Alejandro García Sánchez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.8, 53.5], 'player': {'id': 22390, 'name': 'Francisco António Machado Mota de Castro Trincão'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.5, 37.1], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 37.2], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [97.9, 46.4], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.2, 40.1], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.7, 19.2], 'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]}",Open Play,Saved,Right Foot,0.034160636
4,20,d1eacbf8-fed7-4347-9202-eb4a2676100e,3412,Regular Play,"[97.5, 49.6]","{'statsbomb_xg': 0.037237283, 'end_location': [99.7, 48.4], 'key_pass_id': '9a0a0b4d-47f7-4bbe-b931-80df9d20b696', 'outcome': {'id': 96, 'name': 'Blocked'}, 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'freeze_frame': [{'location': [103.3, 36.7], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.9, 30.1], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.4, 33.9], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [93.5, 43.4], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [92.8, 37.8], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [115.8, 41.4], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.2, 51.4], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.1, 48.0], 'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.9, 38.1], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.3, 45.2], 'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.2, 34.2], 'player': {'id': 6618, 'name': 'Martín Aguirregabiria Padilla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.9, 39.6], 'player': {'id': 10605, 'name': 'Rodrigo Andrés Battaglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.9, 27.4], 'player': {'id': 31779, 'name': 'Tomas Franco Tavares'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [97.1, 34.0], 'player': {'id': 6632, 'name': 'Manuel Alejandro García Sánchez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [89.7, 39.4], 'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.8, 58.6], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]}",Open Play,Blocked,Left Foot,0.037237283
0,0,65c20fce-2324-4324-8f7b-bd1353dd0b76,85,Regular Play,"[101.1, 50.9]","{'statsbomb_xg': 0.04283516, 'end_location': [117.2, 41.6, 1.6], 'body_part': {'id': 40, 'name': 'Right Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 100, 'name': 'Saved'}, 'technique': {'id': 93, 'name': 'Normal'}, 'freeze_frame': [{'location': [98.7, 37.3], 'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.4, 27.5], 'player': {'id': 11501, 'name': 'Darwin Daniel Machís Marcano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.8, 32.2], 'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [92.7, 39.3], 'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 41.6], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.8, 62.5], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 49.4], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.8, 48.2], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.9, 49.1], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 35.7], 'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 40.5], 'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.4, 26.3], 'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [85.5, 48.3], 'player': {'id': 24052, 'name': 'Yan Brice Eteki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]}",Open Play,Saved,Right Foot,0.04283516
1,3,a47b2dc0-8793-45de-ad9a-78361a1578d8,618,Regular Play,"[103.1, 57.1]","{'statsbomb_xg': 0.014482854, 'end_location': [120.0, 33.8, 0.2], 'key_pass_id': '86e260ae-b491-4ea6-b911-7bfa2db3be0c', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 40, 'name': 'Right Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 98, 'name': 'Off T'}, 'freeze_frame': [{'location': [101.2, 52.7], 'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.6, 44.1], 'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.6, 43.2], 'player': {'id': 24140, 'name': 'Rui Tiago Dantas da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.1, 25.5], 'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.2, 37.7], 'player': {'id': 23807, 'name': 'Domingos Sousa Coutinho Meneses Duarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.6, 41.1], 'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.9, 43.5], 'player': {'id': 24134, 'name': 'Germán Sánchez Barahona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.9, 52.7], 'player': {'id': 11501, 'name': 'Darwin Daniel Machís Marcano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.0, 56.2], 'player': {'id': 25702, 'name': 'Carlos Neva Tey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.2, 41.2], 'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [96.7, 34.7], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]}",Open Play,Off T,Right Foot,0.014482854
2,8,3cabd806-6df9-4421-872f-ea32ab2e7f79,1340,Regular Play,"[103.9, 37.9]","{'statsbomb_xg': 0.056093782, 'end_location': [120.0, 36.6, 2.1], 'key_pass_id': '6bc390c0-54b0-4826-9bc3-6af6bfaa3c37', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 97, 'name': 'Goal'}, 'freeze_frame': [{'location': [88.8, 39.0], 'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.2, 35.5], 'player': {'id': 23807, 'name': 'Domingos Sousa Coutinho Meneses Duarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.2, 30.7], 'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.7, 36.0], 'player': {'id': 24052, 'name': 'Yan Brice Eteki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.2, 35.1], 'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.6, 45.0], 'player': {'id': 25702, 'name': 'Carlos Neva Tey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.7, 38.4], 'player': {'id': 24134, 'name': 'Germán Sánchez Barahona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.5, 39.2], 'player': {'id': 24140, 'name': 'Rui Tiago Dantas da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.8, 34.3], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.2, 33.5], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.1, 23.6], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.2, 47.1], 'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.4, 53.5], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]}",Open Play,Goal,Left Foot,0.056093782
0,1,f4d77b03-6602-4b80-adac-f840ed665451,467,Regular Play,"[105.5, 42.9]","{'statsbomb_xg': 0.09020188, 'end_location': [108.2, 43.3], 'key_pass_id': '2c0800b8-568a-4114-ad06-b5f8e93c7f0e', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 96, 'name': 'Blocked'}, 'freeze_frame': [{'location': [98.1, 52.7], 'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.5, 24.4], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [93.3, 42.4], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [110.2, 57.1], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.2, 46.7], 'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.2, 53.5], 'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.2, 43.3], 'player': {'id': 75546, 'name': 'Carlos Domínguez Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.3, 37.6], 'player': {'id': 22029, 'name': 'Kevin Vázquez Comesaña'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.5, 42.1], 'player': {'id': 11388, 'name': 'Néstor Alejandro Araújo Razo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 42.0], 'player': {'id': 11389, 'name': 'Francisco José Beltrán Peinado'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.7, 39.3], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.4, 40.1], 'player': {'id': 40890, 'name': 'Iván Villar Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.6, 56.2], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [111.4, 44.7], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.7, 34.9], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]}",Open Play,Blocked,Left Foot,0.09020188
1,2,c9e36179-edd5-429c-8004-77b40518c42d,497,Regular Play,"[116.5, 31.4]","{'one_on_one': True, 'statsbomb_xg': 0.23502783, 'end_location': [118.3, 35.5, 0.1], 'key_pass_id': '5574f55b-5f09-43af-b410-fc79c050c7e6', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 100, 'name': 'Saved'}, 'freeze_frame': [{'location': [107.2, 35.8], 'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.5, 26.3], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.9, 43.8], 'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.7, 44.6], 'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.4, 36.8], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.1, 31.3], 'player': {'id': 11388, 'name': 'Néstor Alejandro Araújo Razo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 31.7], 'player': {'id': 75546, 'name': 'Carlos Domínguez Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.9, 33.7], 'player': {'id': 11389, 'name': 'Francisco José Beltrán Peinado'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.1, 42.4], 'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.2, 24.4], 'player': {'id': 22029, 'name': 'Kevin Vázquez Comesaña'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.1, 26.5], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.6, 35.2], 'player': {'id': 40890, 'name': 'Iván Villar Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.1, 47.8], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]}",Open Play,Saved,Left Foot,0.23502783
